pack,pos,number,name,subtitle,rarity,type,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,16,Shin Hati,Eager Adversary,Common,Leader,Normal,16,0,0,high,"Leader, sideways at start of row 1; standard bordered frame"
1,2,19,Fortress of the Great Mothers,,Common,Base,Normal,19,0,0,high,"Base, landscape; 19/264 read"
1,3,71,Battered Haulcraft,,Common,Unit,Normal,71,0,0,high,71/264 read
1,4,188,Galvanized Leap,,Common,Event,Normal,188,0,0,medium,number line partially read (188/264)
1,5,237,Mouse Droid,,Common,Unit,Normal,237,0,0,high,237/264 read
1,6,89,Perseverance,,Common,Event,Normal,89,0,0,high,89/264 read
1,7,503,Imperial Loyalist,,Common,Unit,Hyperspace,239,0,1,high,"printed 503, borderless full-art hyperspace frame"
1,8,124,Protectorate Fighter,,Common,Unit,Normal,124,0,0,high,124/264 read
1,9,189,Emperor's Messenger,,Common,Unit,Normal,189,0,0,high,189/264 read
1,10,116,Ant Droid,,Common,Unit,Normal,116,0,0,high,116/264 read
1,11,227,Heightened Awareness,,Common,Upgrade,Normal,227,0,0,high,227/264 read
1,12,673,Pegasus Tri-Wing,,Common,Unit,Hyperspace Foil,171,1,1,high,printed 673 (hyperspace foil range); foil slot
1,13,210,DDC Defender,,Uncommon,Upgrade,Normal,210,0,0,high,210/264 read
1,14,125,Stolen Eta Shuttle,,Uncommon,Unit,Normal,125,0,0,high,125/264 read
1,15,795,The Mandalorian,Devoted Rescuer,Legendary,Unit,Standard Prestige,62,0,0,high,"prestige dark frame, printed 795 (Standard Prestige)"
1,16,247,One Must Destroy to Create,,Rare,Event,Normal,247,0,0,high,247/264 read
2,1,3,Baylan Skoll,Power Beyond Dream,Common,Leader,Normal,3,0,0,high,"Leader, sideways at start of row 1; standard frame"
2,2,25,Emperor's Observatory,,Common,Base,Normal,25,0,0,high,"Base, landscape"
2,3,87,Cybernetic Enhancements,,Common,Upgrade,Normal,87,0,0,high,87/264 read
2,4,164,Alamite Hunter,,Common,Unit,Normal,164,0,0,high,164/264 read
2,5,80,Covert Believers,,Common,Unit,Normal,80,0,0,high,80/264 read
2,6,244,Remnant Trooper Corps,,Common,Unit,Normal,244,0,0,high,244/264 read
2,7,478,Amnesty Officer,,Common,Unit,Hyperspace,214,0,1,high,"printed 478, borderless full-art hyperspace frame"
2,8,111,Children of the Watch,,Common,Unit,Normal,111,0,0,high,111/264 read
2,9,263,The Way of the Mand'alor,,Common,Upgrade,Normal,263,0,0,high,263/264 read
2,10,225,Tatooine Sand Beast,,Common,Unit,Normal,225,0,0,high,225/264 read
2,11,129,Defenders of the Forest,,Common,Unit,Normal,129,0,0,high,129/264 read
2,12,679,Onyx Cinder,Adventure Awaits,Rare,Unit,Hyperspace Foil,177,1,1,high,printed 679 (hyperspace foil); visible foil glare; foil slot
2,13,178,Knobby White Ice Spider,,Uncommon,Unit,Normal,178,0,0,high,178/264 read
2,14,109,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Normal,109,0,0,high,109/264 read
2,15,50,Morgan Elsbeth,Life Abandoned,Uncommon,Unit,Normal,50,0,0,high,50/264 read
2,16,36,Rukh,From the Shadows,Rare,Unit,Normal,36,0,0,high,36/264 read
3,1,16,Shin Hati,Eager Adversary,Common,Leader,Normal,16,0,0,high,"Leader, sideways at start of row 1; standard frame"
3,2,23,Ancient Henge,,Common,Base,Normal,23,0,0,high,"Base, landscape"
3,3,145,Praetorian Elite,,Common,Unit,Normal,145,0,0,high,145/264 read
3,4,48,Imperial Armored Commando,,Common,Unit,Normal,48,0,0,high,48/264 read
3,5,167,Flarestar Attack Shuttle,,Common,Unit,Normal,167,0,0,high,167/264 read
3,6,246,Exploit Advantage,,Common,Event,Normal,246,0,0,high,246/264 read
3,7,523,LEP Ratcatcher,,Common,Unit,Hyperspace,259,0,1,medium,"printed 523 (no /264), hyperspace variant; number slightly blurry"
3,8,232,Full of Surprises,,Common,Event,Normal,232,0,0,high,232/264 read
3,9,95,Remnant Interceptor,,Common,Unit,Normal,95,0,0,high,95/264 read; dark art but normal frame
3,10,205,Inspiring Veteran,,Common,Unit,Normal,205,0,0,medium,number partially read (20x/264); title match
3,11,124,Protectorate Fighter,,Common,Unit,Normal,124,0,0,high,124/264 read
3,12,560,Duchess's Protector,,Common,Unit,Hyperspace Foil,58,1,1,high,printed 560 (hyperspace foil); strong foil glare; foil slot
3,13,44,Barriss Offee,Redeeming Herself,Uncommon,Unit,Normal,44,0,0,high,44/264 read
3,14,172,Razor Crest,Outfitted Armament,Uncommon,Unit,Normal,172,0,0,high,172/264 read
3,15,204,Blade Three,Bane of the Devastator,Uncommon,Unit,Normal,204,0,0,high,204/264 read
3,16,247,One Must Destroy to Create,,Rare,Event,Normal,247,0,0,high,247/264 read
4,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Normal,17,0,0,medium,photo out of focus; ID via art match (clear top template-match score) + red/gold magistrate robe; plain leader frame = normal; printed number not directly readable
4,2,20,"Nevarro City, Restored",,Common,Base,Normal,20,0,0,medium,art match: white buildings + green tree + mountains; number inferred (print unreadable)
4,3,89,Perseverance,,Common,Event,Normal,89,0,0,medium,"blue Vigilance event, art of armored figures; top template match; number inferred"
4,4,152,Inspired Recruit,,Common,Unit,Normal,152,0,0,medium,"art match: cheering figure with raised fist in crowd, red frame, empty text box; number inferred"
4,5,58,Duchess's Protector,,Common,Unit,Normal,58,0,0,medium,art match: white/blue armored guard with staff in pale palace interior; single-line When Defeated text; number inferred
4,6,143,Tempest Lieutenant,,Common,Unit,Normal,143,0,0,medium,"art match: officer in hatch of diagonal tank, warm forest light; red Overwhelm keyword block; number inferred; audit: black border edge + light frame rails present = Normal confirmed"
4,7,527,The Way of the Mand'alor,,Common,Upgrade,Hyperspace,263,0,1,high,"audit confirmed Hyperspace 527: digits unreadable (blur) but card is full-bleed teal art with hyperspace crosshatch streaks running to the bottom-right corner and NO light side rails; confirmed-Normal 263 (pack13, read 263/264) shows framed art + light grey rails; edge brightness profile flat ~66-105 here vs bright-rail peak ~200 on pack04's known-Normal pos8 control"
4,8,178,Knobby White Ice Spider,,Uncommon,Unit,Normal,178,0,0,medium,art match: dark purple spider on white web; red Hidden keyword block + When Played line; number inferred
4,9,190,Peridea Bandit,,Common,Unit,Normal,190,0,0,medium,art match: lance-wielding riders on creatures atop rocks; number inferred; audit: framed art with gold-tan rails + cream textbox = Normal confirmed
4,10,116,Ant Droid,,Common,Unit,Normal,116,0,0,medium,"art match: spindly droid in yellow-green field with mountains; one-line When Defeated: Draw a card; number inferred; audit: warm tan rail band (163,141,106) matches Normal 116 ref frame = Normal confirmed"
4,11,193,Emperor's Champion,,Common,Unit,Normal,193,0,0,medium,art match: red-robed royal guard flanked by stormtroopers; number inferred
4,12,741,Imperial Loyalist,,Common,Unit,Hyperspace Foil,239,1,1,medium,"foil slot, visible glare; art match: headphoned crewman at console with robed figures behind; HS-foil printing 741"
4,13,471,Heroic Purrgil,,Common,Unit,Hyperspace,207,0,1,high,"audit confirmed Hyperspace 471: digits unreadable (blur) but Normal 207 has bright gold side rails (ref brightness ~200) which are completely absent here - left-edge profile flat dark 41-56 (dark starfield bleed matching ref 471), while adjacent pos14 Normal in the same dark photo corner shows clear rail bumps ~95-134; pack04 genuinely has TWO nonfoil HS commons (527 + 471)"
4,14,88,The Conflict Within,,Uncommon,Upgrade,Normal,88,0,0,medium,art match: Darth Vader (left) and blond Luke in white (right); upgrade layout; number inferred
