pack,pos,number,name,subtitle,rarity,type,aspects,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
1,1,17,Greef Karga,Gracious Magistrate,Common,Leader,Cunning/Heroism,Normal,17,0,0,high,17/264 read
1,2,20,"Nevarro City, Restored",,Common,Base,Vigilance,Normal,20,0,0,high,"20/264 read (partial 0/264 visible, name+rarity match 20)"
1,3,259,LEP Ratcatcher,,Common,Unit,,Normal,259,0,0,high,259/264 read
1,4,61,Strike Team Vanguard,,Common,Unit,Vigilance/Heroism,Normal,61,0,0,high,61/264 read
1,5,176,Imposing Scout Walker,,Common,Unit,Aggression,Normal,176,0,0,high,176/264 read
1,6,91,Buy Time,,Common,Event,Vigilance,Normal,91,0,0,high,91/264 read
1,7,335,Battered Haulcraft,,Common,Unit,Vigilance,Hyperspace,71,0,1,high,"335 bare number read, Hyperspace common slot"
1,8,106,Pathfinder Sergeant,,Common,Unit,Command/Heroism,Normal,106,0,0,high,106/264 read
1,9,228,Preparation,,Common,Upgrade,Cunning,Normal,228,0,0,high,228/264 read
1,10,96,Forest Patroller,,Common,Unit,Command/Villainy,Normal,96,0,0,high,96/264 read
1,11,254,Gallofree Transport,,Common,Unit,Heroism,Normal,254,0,0,high,254/264 read
1,12,594,Foundling Rescue,,Common,Event,Vigilance,Hyperspace Foil,92,1,0,high,"594 bare number read, foil slot"
1,13,74,Mos Eisley Modifier,,Uncommon,Unit,Vigilance,Normal,74,0,0,high,74/264 read
1,14,139,Hold Them Off,,Uncommon,Event,Command,Normal,139,0,0,high,139/264 read
1,15,236,Far Far Away,,Uncommon,Event,Cunning,Normal,236,0,0,high,236/264 read
1,16,43,Corona Four,Justice for Alderaan,Rare,Unit,Cunning/Vigilance/Heroism,Normal,43,0,0,medium,ASH-EN visible but digits cut off at photo bottom edge; inferred Normal 43 from standard black-border frame (not borderless) and elimination since foil slot already filled by pos12
2,1,11,Cad Bane,Still Faster than You,Common,Leader,Aggression/Villainy,Normal,11,0,0,medium,"partial ""1/264"" corner digits, reference-matched to 11"
2,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,0,0,medium,"digits not clearly legible in corner strip; inferred Normal 21 by elimination (name unique, only Normal/Hyperspace exist)"
2,3,239,Imperial Loyalist,,Common,Unit,Villainy,Normal,239,0,0,high,239/264 read
2,4,184,Follow Me,,Common,Event,Aggression,Normal,184,0,0,high,184/264 read
2,5,76,Remnant Official,,Common,Unit,Vigilance,Normal,76,0,0,high,76/264 read
2,6,185,Intimidation,,Common,Event,Aggression,Normal,185,0,0,high,185/264 read
2,7,495,Diplomatic Pageantry,,Common,Event,Cunning,Hyperspace,231,0,1,high,"bare number read (495), Hyperspace common slot, confirmed by sanity (only HS common in 3-11)"
2,8,216,Mandalorian Scout,,Common,Unit,Cunning,Normal,216,0,0,high,216/264 read
2,9,117,Outland Protector,,Common,Unit,Command,Normal,117,0,0,high,117/264 read
2,10,231,Diplomatic Pageantry,,Common,Event,Cunning,Normal,231,0,0,high,231/264 read
2,11,264,A New Order,,Common,Event,,Normal,264,0,0,high,264/264 read
2,12,729,Heightened Awareness,,Common,Upgrade,Cunning,Hyperspace Foil,227,1,0,high,"729 bare number read, foil slot"
2,13,187,Reckoning,,Uncommon,Event,Aggression,Normal,187,0,0,high,187/264 read
2,14,68,Domesticated Loth-Cat,,Uncommon,Unit,Vigilance,Normal,68,0,0,medium,"read as 66/264 or 68/264, reference-matched to 68 (only valid Normal number for this card)"
2,15,458,Snub Fighter Squadron,,Uncommon,Unit,Cunning/Villainy,Hyperspace,194,0,1,medium,"bare number read as ~450, reference-matched to 458 Hyperspace (UC3 upgrade slot)"
2,16,90,Reforge,,Rare,Event,Vigilance,Normal,90,0,0,medium,"read as 80/264 or 90/264, reference-matched to 90 (only valid Normal number for this card)"
3,1,271,Grand Admiral Sloane,Holding the Empire Together,Rare,Leader,Command/Villainy,Hyperspace,7,0,0,high,271 bare number read
3,2,19,Fortress of the Great Mothers,,Common,Base,Vigilance,Normal,19,0,0,high,19/264 read
3,3,75,Pit Droid Team,,Common,Unit,Vigilance,Normal,75,0,0,high,75/264 read
3,4,170,Desert Sharpshooter,,Common,Unit,Aggression,Normal,170,0,0,high,170/264 read
3,5,238,Attendant Navigator,,Common,Unit,Villainy,Normal,238,0,0,high,238/264 read
3,6,86,Durasteel Plating,,Common,Upgrade,Vigilance,Normal,86,0,0,high,86/264 read
3,7,449,Intimidation,,Common,Event,Aggression,Hyperspace,185,0,1,medium,"bare number read as ~440, reference-matched to 449 Hyperspace (only HS common in 3-11)"
3,8,138,Turning the Tide,,Common,Event,Command,Normal,138,0,0,high,138/264 read
3,9,233,Keep Them Talking,,Common,Event,Cunning,Normal,233,0,0,high,233/264 read
3,10,136,Display of Strength,,Common,Event,Command,Normal,136,0,0,high,136/264 read
3,11,215,Flanking TIE Interceptor,,Common,Unit,Cunning,Normal,215,0,0,high,215/264 read
3,12,613,Children of the Watch,,Common,Unit,Command/Heroism,Hyperspace Foil,111,1,0,high,"613 bare number read, foil slot"
3,13,210,DDC Defender,,Uncommon,Upgrade,Cunning/Heroism,Normal,210,0,0,medium,"read as 230/264, reference-matched to 210 (only valid number for this card)"
3,14,125,Stolen Eta Shuttle,,Uncommon,Unit,Command,Normal,125,0,0,high,125/264 read
3,15,208,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Cunning/Heroism,Normal,208,0,0,high,208/264 read
3,16,33,Grand Admiral Thrawn,Orchestrating His Return,Rare,Unit,Command/Aggression/Villainy,Normal,33,0,0,high,33/264 read
4,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Vigilance/Heroism,Normal,6,0,0,medium,glare obscured number; matched by name/subtitle/frame vs unique Leader entry
4,2,21,Emperor's Throne Room,,Common,Base,Command,Normal,21,0,0,medium,"glare obscured number; matched by name vs unique Base entry, defense 30 visible"
4,3,175,Wookiee Chieftain,,Common,Unit,Aggression,Normal,175,0,0,high,175/264 read
4,4,242,Death Trooper Squad,,Common,Unit,Villainy,Normal,242,0,0,high,242/264 read
