pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
1,1,276,Vane,Quarrelsome Pirate,Rare,Leader,Hyperspace,leader,false,high,leader always HS; # 265-528
1,2,804,Grogu,Charming Companion,Rare,Leader,Standard Prestige,prestige,false,high,LEADER prestige in prestige slot; #804 = Grogu Standard Prestige (generator excludes leaders from prestige pool)
1,3,502,Attendant Navigator,,Common,Unit,Hyperspace,hs,false,high,
1,4,400,Display of Strength,,Common,Event,Hyperspace,hs,false,high,
1,5,471,Heroic Purrgil,,Common,Unit,Hyperspace,hs,false,high,
1,6,355,Buy Time,,Common,Event,Hyperspace,hs,false,high,
1,7,332,Domesticated Loth-Cat,,Uncommon,Unit,Hyperspace,hs,false,high,
1,8,507,Darth Vader,Meet Your Destiny,Special,Unit,Hyperspace,hs,false,high,HS-top candidate (R/S/L)
1,9,387,Lang,Arrogant Mercenary,Rare,Unit,Hyperspace,hs,false,high,
1,10,467,Mando's N-1 Starfighter,Faster than a Fathier,Rare,Unit,Hyperspace,hs,false,medium,number edge-cropped in photo; confirmed 467 via cards.json
1,11,689,Reckoning,,Uncommon,Event,Hyperspace Foil,hsf,false,high,
1,12,576,Mos Eisley Modifier,,Uncommon,Unit,Hyperspace Foil,hsf,false,high,
1,13,589,Cybernetic Enhancements,,Common,Upgrade,Hyperspace Foil,hsf,false,high,
1,14,748,Exploit Advantage,,Common,Event,Hyperspace Foil,hsf,false,high,
1,15,735,Keep Them Talking,,Common,Event,Hyperspace Foil,hsf,false,high,
1,16,647,Praetorian Elite,,Common,Unit,Hyperspace Foil,hsf,false,high,
