pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
1,1,282,Grogu,Charming Companion,Rare,Leader,Hyperspace,leader,true,high,
1,2,516,N5 Sentry Droid,,Common,Unit,Hyperspace,hs,true,high,
1,3,402,Turning the Tide,,Common,Event,Hyperspace,hs,true,high,
1,4,452,Galvanized Leap,,Common,Event,Hyperspace,hs,true,high,
1,5,309,Reanimated Night Trooper,,Common,Unit,Hyperspace,hs,true,high,
1,6,520,Rebel Infiltrators,,Common,Unit,Hyperspace,hs,true,high,
1,7,472,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Hyperspace,hs,true,high,
1,8,352,The Conflict Within,,Uncommon,Upgrade,Hyperspace,hs,true,high,
1,9,408,Vane's Snub Fighter,Brash and Proud,Rare,Unit,Hyperspace,hs,true,high,
1,10,812,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Standard Prestige,prestige,true,high,
1,11,711,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
1,12,652,Deadly Vulnerability,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
1,13,640,Turning the Tide,,Common,Event,Hyperspace Foil,hsf,true,high,
1,14,563,Strike Team Vanguard,,Common,Unit,Hyperspace Foil,hsf,true,high,
1,15,730,Preparation,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
1,16,744,Death Trooper Squad,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,1,273,Ahsoka Tano,Trust in the Force,Common,Leader,Hyperspace,leader,true,high,
2,2,385,Blurrg,,Common,Unit,Hyperspace,hs,true,high,
2,3,480,Mandalorian Scout,,Common,Unit,Hyperspace,hs,true,high,
2,4,335,Battered Haulcraft,,Common,Unit,Hyperspace,hs,true,high,
2,5,495,Diplomatic Pageantry,,Common,Event,Hyperspace,hs,true,high,
2,6,449,Intimidation,,Common,Event,Hyperspace,hs,true,high,
2,7,433,Axe Woves,Undaunted,Uncommon,Unit,Hyperspace,hs,true,high,
2,8,292,Paz Vizsla,For a Brighter Future,Rare,Unit,Hyperspace,hs,true,high,
2,9,306,Jabba the Hutt,Eminence of Tatooine,Rare,Unit,Hyperspace,hs,true,high,
2,10,797,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Standard Prestige,prestige,true,high,
2,11,653,Operation Cinder,,Rare,Event,Hyperspace Foil,hsf,true,high,
2,12,635,Trask Walker,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
2,13,558,Huyang,Your Aptitude Falls Short,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
2,14,765,The Way of the Mand'alor,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
2,15,716,Amnesty Officer,,Common,Unit,Hyperspace Foil,hsf,true,high,
2,16,659,Danger Squadron Wingmen,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,1,281,Greef Karga,Gracious Magistrate,Common,Leader,Hyperspace,leader,true,high,
3,2,453,Emperor's Messenger,,Common,Unit,Hyperspace,hs,true,high,
3,3,388,Protectorate Fighter,,Common,Unit,Hyperspace,hs,true,high,
3,4,351,Cybernetic Enhancements,,Common,Upgrade,Hyperspace,hs,true,high,
3,5,506,Death Trooper Squad,,Common,Unit,Hyperspace,hs,true,high,
3,6,445,Mark My Words,,Common,Upgrade,Hyperspace,hs,true,high,
3,7,383,Greef Karga,Introductions are in Order,Uncommon,Unit,Hyperspace,hs,true,high,
3,8,305,Outcast,Mercenary Starship,Uncommon,Unit,Hyperspace,hs,true,high,
3,9,376,Luke Skywalker,Answering the Call,Legendary,Unit,Hyperspace,hs,true,high,
3,10,807,Whistling Birds,,Legendary,Upgrade,Standard Prestige,prestige,true,high,
3,11,587,Grav Charge,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
3,12,696,Snub Fighter Squadron,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
3,13,709,Heroic Purrgil,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,14,686,Follow Me,,Common,Event,Hyperspace Foil,hsf,true,high,
3,15,624,Consortium StarViper,,Common,Unit,Hyperspace Foil,hsf,true,high,
3,16,593,Buy Time,,Common,Event,Hyperspace Foil,hsf,true,high,
4,1,277,Ezra Bridger,It's Now or Never,Common,Leader,Hyperspace,leader,true,high,
4,2,489,Tatooine Sand Beast,,Common,Unit,Hyperspace,hs,true,high,
4,3,345,Nebulon-C Frigate,,Common,Unit,Hyperspace,hs,true,high,
4,4,390,Survivors' Langskib,,Common,Unit,Hyperspace,hs,true,high,
4,5,429,Clan Vizsla Soldier,,Common,Unit,Hyperspace,hs,true,high,
4,6,522,Grassroots Resistance,,Common,Event,Hyperspace,hs,true,high,
4,7,313,Shin Hati,Going Somewhere?,Uncommon,Unit,Hyperspace,hs,true,high,
4,8,422,Han Solo,It'll Work,Special,Unit,Hyperspace,hs,true,high,
4,9,304,Poe Dameron,I'll Come Back For You,Rare,Unit,Hyperspace,hs,true,high,
4,10,841,Cobb Vanth,Let Me Handle This,Rare,Unit,Foil Prestige,prestige,true,high,
4,11,630,Bothan-5,New Republic Prison Ship,Rare,Unit,Hyperspace Foil,hsf,true,high,
4,12,543,Outcast,Mercenary Starship,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
4,13,645,Tempest Lieutenant,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,14,573,Battered Haulcraft,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,15,597,Remnant Interceptor,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,16,764,Faith in the Empire,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
5,1,276,Vane,Quarrelsome Pirate,Rare,Leader,Hyperspace,leader,true,high,
5,2,371,Clan Wren Loyalist,,Common,Unit,Hyperspace,hs,true,high,
5,3,421,Danger Squadron Wingmen,,Common,Unit,Hyperspace,hs,true,high,
5,4,325,Strike Team Vanguard,,Common,Unit,Hyperspace,hs,true,high,
5,5,508,Remnant Trooper Corps,,Common,Unit,Hyperspace,hs,true,high,
5,6,389,Stolen Eta Shuttle,,Uncommon,Unit,Hyperspace,hs,true,high,
5,7,473,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Hyperspace,hs,true,high,
5,8,411,The Cyborg Mech,Mysterious Threat,Uncommon,Unit,Hyperspace,hs,true,high,
5,9,298,Wicket,Yub Nub!,Rare,Unit,Hyperspace,hs,true,high,
5,10,879,Paz Vizsla,For a Brighter Future,Rare,Unit,Serialized Prestige,prestige,true,high,
5,11,639,Wipe Them Out,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
5,12,660,Han Solo,It'll Work,Special,Unit,Hyperspace Foil,hsf,true,high,
5,13,718,Mandalorian Scout,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,14,550,Imperial Armored Commando,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,15,623,Blurrg,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,16,762,Mos Espa Watermonger,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,1,280,Shin Hati,Eager Adversary,Common,Leader,Hyperspace,leader,true,high,
6,2,471,Heroic Purrgil,,Common,Unit,Hyperspace,hs,true,high,
6,3,355,Buy Time,,Common,Event,Hyperspace,hs,true,high,
6,4,439,Wookiee Chieftain,,Common,Unit,Hyperspace,hs,true,high,
6,5,510,Exploit Advantage,,Common,Event,Hyperspace,hs,true,high,
6,6,485,Helix Starfighter,,Common,Unit,Hyperspace,hs,true,high,
6,7,487,Halo,Not According to Plan,Uncommon,Unit,Hyperspace,hs,true,high,
6,8,318,Pointless to Resist,,Uncommon,Upgrade,Hyperspace,hs,true,high,
6,9,493,Camtono,,Rare,Upgrade,Hyperspace,hs,true,high,
6,10,802,Greef Karga,Introductions are in Order,Uncommon,Unit,Standard Prestige,prestige,true,high,
6,11,728,Qi'ra,Master of Teräs Käsi,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
6,12,662,Kachirho Militia,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
6,13,715,Womp Rat,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,14,577,Pit Droid Team,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,15,633,Dinosaur Turtle,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,16,678,Imposing Scout Walker,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,1,272,Moff Gideon,Indomitable Warlord,Common,Leader,Hyperspace,leader,true,high,
7,2,409,Praetorian Elite,,Common,Unit,Hyperspace,hs,true,high,
7,3,362,AT-ST Raider,,Common,Unit,Hyperspace,hs,true,high,
