pack,pos,number,name,subtitle,rarity,type,variant,confidence,note
1,1,46,Scion Shuttle,At Morgan's Bidding,Uncommon,Unit,Normal,high,
1,2,524,Mos Espa Watermonger,,Common,Unit,Hyperspace,high,"bare number 524, borderless"
1,3,267,Baylan Skoll,Power Beyond Dream,Common,Leader,Hyperspace,high,bare number 267 confirmed on zoom; sideways leader
1,4,139,Hold Them Off,,Uncommon,Event,Normal,high,139/264
1,5,216,Mandalorian Scout,,Common,Unit,Normal,high,216/264
1,6,20,"Nevarro City, Restored",,Common,Base,Normal,high,20/264
1,7,208,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Normal,high,208/264
1,8,117,Outland Protector,,Common,Unit,Normal,high,117/264
1,9,91,Buy Time,,Common,Event,Normal,high,91/264
1,10,90,Reforge,,Rare,Event,Normal,high,"90/264, rare slot"
1,11,231,Diplomatic Pageantry,,Common,Event,Normal,high,231/264
1,12,239,Imperial Loyalist,,Common,Unit,Normal,high,239/264
1,13,264,A New Order,,Common,Event,Normal,high,264/264
1,14,184,Follow Me,,Common,Event,Normal,high,184/264
1,15,571,Noti Nomad,,Common,Unit,Hyperspace Foil,high,"bare number 571, foil slot"
1,16,76,Remnant Official,,Common,Unit,Normal,high,76/264
2,1,16,Shin Hati,Eager Adversary,Common,Leader,Normal,high,"16/264, sideways leader"
2,2,22,Kryze Castle,,Common,Base,Normal,high,"22/264, Kalevala trait"
2,3,185,Intimidation,,Common,Event,Normal,high,185/264
2,4,75,Pit Droid Team,,Common,Unit,Normal,high,75/264
2,5,170,Desert Sharpshooter,,Common,Unit,Normal,high,170/264
2,6,238,Attendant Navigator,,Common,Unit,Normal,high,238/264
2,7,437,Shydopp Pirate Skiff,,Common,Unit,Hyperspace,high,"bare number 437, borderless"
2,8,138,Turning the Tide,,Common,Event,Normal,high,138/264
2,9,233,Keep Them Talking,,Common,Event,Normal,high,233/264
2,10,136,Display of Strength,,Common,Event,Normal,high,136/264
2,11,215,Flanking TIE Interceptor,,Common,Unit,Normal,high,215/264
2,12,558,Huyang,Your Aptitude Falls Short,Uncommon,Unit,Hyperspace Foil,high,bare 558 confirmed on zoom; foil slot; duplicate of pos 14 in different variant
2,13,146,Justifier,Relentless,Uncommon,Unit,Normal,high,146/264
